Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,0078795","0,00077459","0,041095",0,0,0,3,"0,0041187","5,5823E-06","3,2535E-15","0,012702","-1,2196E-18","0,016603",0,0,0,0,0,0,package://robot4w/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://robot4w/meshes/base_link.STL,,Part 2-4-1;Part 18-1-1;Part 18-1-2;Part 18-1-3;Part 18-1-4;Part 1-3-1;Part 19-1-5;Part 19-1-4;PG36-1-3;PG36-1-1;Part 19-1-1;Part 19-1-3;PG36-1-2;Part 19-1-8;Part 19-1-7;PG36-1-4,Coordinate System10,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rodakiribwh_Link,"1,6966E-08","-0,023829","-1,0182E-07",0,0,0,"0,5","4,6952E-05","-1,6211E-18","-2,0117E-17","6,4174E-05","9,0708E-18","4,6952E-05",0,0,0,0,0,0,package://robot4w/meshes/rodakiribwh_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://robot4w/meshes/rodakiribwh_Link.STL,,RODA1-4,Coordinate System5,Axis4,rodabwhkiri,continuous,"-0,2","0,18325","0,022",0,"-0,084622",0,base_link,0,-1,0,,,,,,,,,,,,
rodakiriats_Link,"7,5112E-08","-0,023829","-7,08E-08",0,0,0,"0,5","4,6952E-05","-6,7926E-18","-8,8395E-18","6,4174E-05","6,2199E-18","4,6952E-05",0,0,0,0,0,0,package://robot4w/meshes/rodakiriats_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://robot4w/meshes/rodakiriats_Link.STL,,RODA1-3,Coordinate System11,Axis3,rodaatskir,continuous,"0,2","0,18325","0,022",0,0,0,base_link,0,-1,0,,,,,,,,,,,,
rodakananatas_Link,"-7,08E-08","0,023829","7,5112E-08",0,0,0,"0,5","4,6952E-05","-6,2062E-18","-8,8411E-18","6,4174E-05","6,7654E-18","4,6952E-05",0,0,0,0,0,0,package://robot4w/meshes/rodakananatas_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://robot4w/meshes/rodakananatas_Link.STL,,RODA1-2,Coordinate System12,Axis2,rodaataskanan,continuous,"0,2","-0,18325","0,022",0,0,0,base_link,0,1,0,,,,,,,,,,,,
rodakananbwh_Link,"-7,08E-08","0,023421","-7,5112E-08",0,0,0,"0,5","4,6952E-05","6,2388E-18","8,8426E-18","6,4174E-05","6,7595E-18","4,6952E-05",0,0,0,0,0,0,package://robot4w/meshes/rodakananbwh_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://robot4w/meshes/rodakananbwh_Link.STL,,RODA1-1,Coordinate System13,Axis1,rodabwhkanan,continuous,"-0,2","-0,18325","0,022",0,0,0,base_link,0,1,0,,,,,,,,,,,,
sensordepan_Link,"0,0036835","3,0075E-05","0,00041581",0,0,0,"0,002","1,1247E-06","2,5349E-13","-2,9986E-09","2,0431E-07","1,9203E-14","1,0828E-06",0,0,0,0,0,0,package://robot4w/meshes/sensordepan_Link.STL,"0,10196","0,10196","0,10196",1,0,0,0,0,0,0,package://robot4w/meshes/sensordepan_Link.STL,,Ultrasonic HC-SR04-7,Coordinate System6,Axis1 <Ultrasonic HC-SR04-7>,depans,fixed,"0,23209","0,0059934","0,009585",0,0,0,base_link,0,0,0,,,,,,,,,,,,
sensorkiri_Link,"0,0036835","3,0075E-05","0,00041581",0,0,0,"0,002","1,1247E-06","2,5349E-13","-2,9986E-09","2,0431E-07","1,9203E-14","1,0828E-06",0,0,0,0,0,0,package://robot4w/meshes/sensorkiri_Link.STL,"0,10196","0,10196","0,10196",1,0,0,0,0,0,0,package://robot4w/meshes/sensorkiri_Link.STL,,Ultrasonic HC-SR04-8,Coordinate System8,Axis1 <Ultrasonic HC-SR04-8>,sensork,fixed,"-0,0048711","0,1233","0,009585",0,0,"1,5708",base_link,0,0,0,,,,,,,,,,,,
sensorkanan_Link,"0,0036835","3,0075E-05","0,00041581",0,0,0,"0,002","1,1247E-06","2,5349E-13","-2,9986E-09","2,0431E-07","1,9203E-14","1,0828E-06",0,0,0,0,0,0,package://robot4w/meshes/sensorkanan_Link.STL,"0,10196","0,10196","0,10196",1,0,0,0,0,0,0,package://robot4w/meshes/sensorkanan_Link.STL,,Ultrasonic HC-SR04-6,Coordinate System7,Axis1 <Ultrasonic HC-SR04-6>,sensork,fixed,"0,0019567","-0,12532","0,009585",0,0,"-1,5708",base_link,0,0,0,,,,,,,,,,,,
sesorbelakng_Link,"0,0036835","3,0075E-05","0,00041581",0,0,0,"0,002","1,1247E-06","2,5349E-13","-2,9986E-09","2,0431E-07","1,9203E-14","1,0828E-06",0,0,0,0,0,0,package://robot4w/meshes/sesorbelakng_Link.STL,"0,10196","0,10196","0,10196",1,0,0,0,0,0,0,package://robot4w/meshes/sesorbelakng_Link.STL,,Ultrasonic HC-SR04-5,Coordinate System9,Axis1 <Ultrasonic HC-SR04-5>,sbelakang,fixed,"-0,22973","0,0056954","0,009585",0,0,"-3,1416",base_link,0,0,0,,,,,,,,,,,,
